origin,destination,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
FI,SK,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,2,2,2
FI,TR,null ,null ,null ,0,4,5,4,5,6,6,4,5,4,null ,1,0
FR,AT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
FR,BE,null,null,null,null,null,null,null,null ,3239,3239,3220,3069,2004,1814,1744,1026
FR,BG,null,null,null,7,34,22,17,21,19,15,17,23,5,null,null ,null 
FR,CH,1391,1272,1232,1214,1264,1962,2007,2052,1780,1761,1550,1632,null ,null ,null ,null 
FR,CZ,0,0,0,0,0,0,0,0,null ,1,0,0,0,1,0,0
FR,DE,790,1353,1116,922,641,705,781,660,852,574,543,448,279,312,334,703
FR,DK,null ,null ,null ,null ,null ,null ,null ,1,1,1,null ,1,1,1,0,0
FR,ES,432,416,434,434,445,418,126,152,159,264,278,275,232,283,276,279
FR,HR,null ,null ,2,4,8,7,8,6,5,3,3,4,2,0,1,1
FR,HU,null,null,null,null,null,139,115,148,100,98,105,116,82,87,147,52
FR,IT,null ,null ,null ,null,null,null,null,null,null,null,null,null,827,919,794,846
FR,LU,2283,2140,2088,1968,1726,1557,1661,1595,1435,1546,null ,1430,1465,1178,1148,1115
FR,NL,null,null,null,null,null,null,null,null,null,null,null,null,610,461,500,500
FR,PL,7,11,11,11,9,14,12,10,10,14,10,11,11,3,2,2
FR,PT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,2
FR,RO,0,0,0,0,0,0,null ,0,null ,18,12,10,7,6,4,3
FR,SI,4,4,4,3,5,5,5,4,5,3,3,5,8,6,1,3
FR,SK,null ,null ,0,null ,0,0,0,0,0,null ,0,0,null ,19,11,11
FR,TR,null ,null ,null ,0,13,11,12,13,16,15,14,15,15,18,17,10
FR,UK,7984,8292,7902,8019,8178,8463,8324,7982,7756,7611,7148,7226,7255,7059,7104,6885
GE,EL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null ,null 
HR,AT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
HR,BE,null ,null ,null ,null ,null ,null ,null,null ,0,0,0,0,0,0,0,0
HR,BG,null,null,null,1,1,1,2,2,1,2,1,1,1,null,null ,null 
HR,CZ,0,0,1,2,3,2,2,2,null ,2,4,5,5,1,0,0
HR,DE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,16,14,9,24,65
HR,DK,null ,null ,null ,null ,null ,null ,null ,null ,1,null ,null ,null ,null ,null ,0,0
HR,EL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0
HR,FR,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null ,null ,0,0,0,0
HR,HU,null,null,null,null,null,28,26,40,35,36,31,32,29,31,31,37
HR,IT,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null,null,14,15,6,7
HR,LT,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null,null ,0,null ,0,0
HR,LU,0,0,0,0,0,0,0,0,null ,0,null ,null ,0,null ,0,null 
HR,MK,0,0,null ,null ,0,0,0,0,0,0,0,null ,null ,null ,null ,null 
HR,NL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null ,null ,null ,null ,null 
HR,PL,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
HR,RO,0,0,0,0,0,0,0,0,0,1,null ,null ,0,0,0,0
HR,SI,49,50,48,43,46,64,73,78,82,91,107,87,103,99,128,109
HR,SK,0,1,1,1,1,1,1,1,1,0,2,2,2,1,1,1
HR,TR,null ,null ,null ,0,0,null ,0,1,1,1,1,1,1,0,0,0
HU,AT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
HU,BE,null ,null,null,null ,null ,null ,null,null ,0,0,0,0,0,0,0,0
HU,BG,null,null,null,2,2,3,2,2,2,3,2,1,2,null,null ,null 
HU,CZ,158,152,129,73,40,39,36,18,null ,10,9,9,17,36,1,8
